id,iupac,formula,trivial,casrn,inchikey,subcat_id,
53,hypoiodous acid,HOI,,14332-21-9,GEOVEUCEIQCBKH-UHFFFAOYSA-N,7,
54,iodine chloride,ICl,,7790-99-0,QZRGKCOWNLSUDK-UHFFFAOYSA-N,7,
55,iodine bromide,IBr,,7789-33-5,CBEQRNSPHCCXSH-UHFFFAOYSA-N,7,
56,hydrogen sulfide,H<sub>2</sub>S,,04/06/7783,RWSOTUBLDIXVET-UHFFFAOYSA-N,8,
57,sulfur dioxide,SO<sub>2</sub>,,05/09/7446,RAHZWNYVWXNFOC-UHFFFAOYSA-N,8,
58,sulfur trioxide,SO<sub>3</sub>,,09/11/7446,AKEJUJNQAAGONA-UHFFFAOYSA-N,8,
59,sulfuric acid,H<sub>2</sub>SO<sub>4</sub>,,7664-93-9,QAOWNCQODCNURD-UHFFFAOYSA-N,8,
60,sulfur hexafluoride,SF<sub>6</sub>,,2551-62-4,SFZCNBIFKDRMGX-UHFFFAOYSA-N,8,
61,sulfuryl fluoride,SO<sub>2</sub>F<sub>2</sub>,,2699-79-8,OBTWBSRJZRCYQV-UHFFFAOYSA-N,8,
62,helium,He,,7440-59-7,SWQJXJOGLNCZEY-UHFFFAOYSA-N,9,
63,neon,Ne,,09/01/7440,GKAOGPIIYCISHV-UHFFFAOYSA-N,9,
64,argon,Ar,,7440-37-1,XKRFYHLGVUSROY-UHFFFAOYSA-N,9,
65,krypton,Kr,,7439-90-9,DNNSSWSSYDEUBZ-UHFFFAOYSA-N,9,
66,xenon,Xe,,7440-63-3,FHNFHKCVQCLJFQ-UHFFFAOYSA-N,9,
67,radon,Rn,,10043-92-2,SYUHGPGVQRZVTB-UHFFFAOYSA-N,9,
68,boric acid,H<sub>3</sub>BO<sub>3</sub>,,10043-35-3,KGBXLFKZBHKPEV-UHFFFAOYSA-N,10,
69,selenium hydride,H<sub>2</sub>Se,,05/07/7783,BUGBHKTXTAQXES-UHFFFAOYSA-N,10,
70,phosphorus trihydride,PH<sub>3</sub>,phosphine,7803-51-2,XYFCBTPGUUZFHI-UHFFFAOYSA-N,10,
71,arsenic hydride,AsH<sub>3</sub>,arsine,7784-42-1,RQNWIZPPADIBDY-UHFFFAOYSA-N,10,
72,mercury,Hg,,7439-97-6,QSHDDOUJBYECFT-UHFFFAOYSA-N,10,
73,mercury(II) oxide,HgO,,21908-53-2,UKWHYYKOEPRTIC-UHFFFAOYSA-N,10,
74,mercury dihydroxide,Hg(OH)<sub>2</sub>,,_CAS-84,inchikey,10,
75,mercury dichloride,HgCl<sub>2</sub>,,7487-94-7,LWJROJCJINYWOX-UHFFFAOYSA-L,10,
76,mercury dibromide,HgBr<sub>2</sub>,,7789-47-1,NGYIMTKLQULBOO-UHFFFAOYSA-L,10,
77,mercury diiodide,HgI<sub>2</sub>,,7774-29-0,YFDLHELOZYVNJE-UHFFFAOYSA-L,10,
78,methane,CH<sub>4</sub>,,74-82-8,VNWKTOKETHGBQD-UHFFFAOYSA-N,11,
79,ethane,C<sub>2</sub>H<sub>6</sub>,,74-84-0,OTMSDBZUPAUEDD-UHFFFAOYSA-N,11,
80,propane,C<sub>3</sub>H<sub>8</sub>,,74-98-6,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,11,
81,butane,C<sub>4</sub>H<sub>10</sub>,,106-97-8,IJDNQMDRQITEOD-UHFFFAOYSA-N,11,
82,2-methylpropane,HC(CH<sub>3</sub>)<sub>3</sub>,isobutane,75-28-5,NNPPMTNAJDCUHE-UHFFFAOYSA-N,11,
83,pentane,C<sub>5</sub>H<sub>12</sub>,,109-66-0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,11,
84,2-methylbutane,C<sub>5</sub>H<sub>12</sub>,isopentane,78-78-4,QWTDNUCVQCZILF-UHFFFAOYSA-N,11,
85,dimethylpropane,C(CH<sub>3</sub>)<sub>4</sub>,neopentane,463-82-1,CRSOQBOWXPBRES-UHFFFAOYSA-N,11,
86,hexane,C<sub>6</sub>H<sub>14</sub>,,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,11,
87,2-methylpentane,C<sub>6</sub>H<sub>14</sub>,isohexane,107-83-5,AFABGHUZZDYHJO-UHFFFAOYSA-N,11,
88,3-methylpentane,C<sub>6</sub>H<sub>14</sub>,,96-14-0,PFEOZHBOMNWTJB-UHFFFAOYSA-N,11,
89,"2,2-dimethylbutane",C<sub>6</sub>H<sub>14</sub>,,75-83-2,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,11,
90,"2,3-dimethylbutane",C<sub>6</sub>H<sub>14</sub>,,79-29-8,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,11,
91,heptane,C<sub>7</sub>H<sub>16</sub>,,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,11,
92,2-methylhexane,C<sub>7</sub>H<sub>16</sub>,isoheptane,591-76-4,GXDHCNNESPLIKD-UHFFFAOYSA-N,11,
93,3-methylhexane,C<sub>7</sub>H<sub>16</sub>,,589-34-4,VLJXXKKOSFGPHI-UHFFFAOYSA-N,11,
94,"2,2-dimethylpentane",C<sub>7</sub>H<sub>16</sub>,,590-35-2,CXOWYJMDMMMMJO-UHFFFAOYSA-N,11,
95,"2,3-dimethylpentane",C<sub>7</sub>H<sub>16</sub>,,565-59-3,WGECXQBGLLYSFP-UHFFFAOYSA-N,11,
96,"2,4-dimethylpentane",C<sub>7</sub>H<sub>16</sub>,,108-08-7,BZHMBWZPUJHVEE-UHFFFAOYSA-N,11,
97,"3,3-dimethylpentane",C<sub>7</sub>H<sub>16</sub>,,562-49-2,AEXMKKGTQYQZCS-UHFFFAOYSA-N,11,
98,3-ethylpentane,C<sub>7</sub>H<sub>16</sub>,,617-78-7,AORMDLNPRGXHHL-UHFFFAOYSA-N,11,
99,"2,2,3-trimethylbutane",C<sub>7</sub>H<sub>16</sub>,,464-06-2,ZISSAWUMDACLOM-UHFFFAOYSA-N,11,
100,octane,C<sub>8</sub>H<sub>18</sub>,,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,11,
101,2-methylheptane,C<sub>8</sub>H<sub>18</sub>,,592-27-8,JVSWJIKNEAIKJW-UHFFFAOYSA-N,11,
102,3-methylheptane,C<sub>8</sub>H<sub>18</sub>,,589-81-1,LAIUFBWHERIJIH-UHFFFAOYSA-N,11,
103,4-methylheptane,C<sub>8</sub>H<sub>18</sub>,,589-53-7,CHBAWFGIXDBEBT-UHFFFAOYSA-N,11,
104,"2,2-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,590-73-8,FLTJDUOFAQWHDF-UHFFFAOYSA-N,11,
105,"2,3-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,584-94-1,JXPOLSKBTUYKJB-UHFFFAOYSA-N,11,
106,"2,4-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,589-43-5,HDGQICNBXPAKLR-UHFFFAOYSA-N,11,
107,"2,5-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,592-13-2,UWNADWZGEHDQAB-UHFFFAOYSA-N,11,
108,"3,3-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,563-16-6,KUMXLFIBWFCMOJ-UHFFFAOYSA-N,11,
109,"3,4-dimethylhexane",C<sub>8</sub>H<sub>18</sub>,,583-48-2,RNTWWGNZUXGTAX-UHFFFAOYSA-N,11,
110,3-ethylhexane,C<sub>8</sub>H<sub>18</sub>,,619-99-8,SFRKSDZMZHIISH-UHFFFAOYSA-N,11,
111,"2,2,3-trimethylpentane",C<sub>8</sub>H<sub>18</sub>,,564-02-3,XTDQDBVBDLYELW-UHFFFAOYSA-N,11,
112,"2,2,4-trimethylpentane",C<sub>8</sub>H<sub>18</sub>,isooctane,540-84-1,NHTMVDHEPJAVLT-UHFFFAOYSA-N,11,
113,"2,3,3-trimethylpentane",C<sub>8</sub>H<sub>18</sub>,,560-21-4,OKVWYBALHQFVFP-UHFFFAOYSA-N,11,
114,"2,3,4-trimethylpentane",C<sub>8</sub>H<sub>18</sub>,,565-75-3,RLPGDEORIPLBNF-UHFFFAOYSA-N,11,
115,3-ethyl-2-methylpentane,C<sub>8</sub>H<sub>18</sub>,,609-26-7,DUPUVYJQZSLSJB-UHFFFAOYSA-N,11,
116,3-ethyl-3-methylpentane,C<sub>8</sub>H<sub>18</sub>,,1067-08-9,GIEZWIDCIFCQPS-UHFFFAOYSA-N,11,
117,"2,2,3,3-tetramethylbutane",C<sub>8</sub>H<sub>18</sub>,,594-82-1,OMMLUKLXGSRPHK-UHFFFAOYSA-N,11,
118,nonane,C<sub>9</sub>H<sub>20</sub>,,111-84-2,BKIMMITUMNQMOS-UHFFFAOYSA-N,11,
119,2-methyloctane,C<sub>9</sub>H<sub>20</sub>,,3221-61-2,ZUBZATZOEPUUQF-UHFFFAOYSA-N,11,
120,3-methyloctane,C<sub>9</sub>H<sub>20</sub>,,2216-33-3,SEEOMASXHIJCDV-UHFFFAOYSA-N,11,
121,4-methyloctane,C<sub>9</sub>H<sub>20</sub>,,2216-34-4,DOGIHOCMZJUJNR-UHFFFAOYSA-N,11,
122,"2,3-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,3074-71-3,WBRFDUJXCLCKPX-UHFFFAOYSA-N,11,
123,"2,2-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,1071-26-7,PSABUFWDVWCFDP-UHFFFAOYSA-N,11,
124,"2,4-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,2213-23-2,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,11,
125,"2,5-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,2216-30-0,HQZHQNKZOYIKQC-UHFFFAOYSA-N,11,
126,"2,6-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,1072-05-5,KBPCCVWUMVGXGF-UHFFFAOYSA-N,11,
127,"3,3-dimethylheptane",C<sub>9</sub>H<sub>20</sub>,,4032-86-4,BVAKDOXCVSMKHE-UHFFFAOYSA-N,11,
