id,iupac,formula,trivial,casrn,inchikey,subcat_id,
774,3-methylcyclohexanol,C<sub>7</sub>H<sub>14</sub>O,,591-23-1,HTSABYAWKQAHBT-UHFFFAOYSA-N,19,
775,cyclododecanol,C<sub>12</sub>H<sub>24</sub>O,,1724-39-6,SFVWPXMPRCIVOK-UHFFFAOYSA-N,19,
776,perhydrobisphenol a,C<sub>15</sub>H<sub>28</sub>O<sub>2</sub>,,80-04-6,CDBAMNGURPMUTG-UHFFFAOYSA-N,19,
777,"3-(5,5,6-trimethyl-2-norbornyl)cyclohexanol",C<sub>16</sub>H<sub>28</sub>O,,3407-42-9,BWVZAZPLUTUBKD-UHFFFAOYSA-N,19,
778,"4-(5,5,6-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",C<sub>16</sub>H<sub>28</sub>O,,66068-84-6,PCFHYANYPQEMPU-UHFFFAOYSA-N,19,
779,"4-((1R,2R,4R)-born-2-yl)cyclohexanol",C<sub>16</sub>H<sub>28</sub>O,,66072-32-0,LFHQKYSBKVWWOS-UHFFFAOYSA-N,19,
780,2-propen-1-ol,C<sub>3</sub>H<sub>5</sub>OH,allyl alcohol,107-18-6,XXROGKLTLUQVRX-UHFFFAOYSA-N,19,
781,2-propyn-1-ol,C<sub>3</sub>H<sub>4</sub>O,propargyl alcohol,107-19-7,TVDSBUOJIPERQY-UHFFFAOYSA-N,19,
782,2-buten-1-ol,CH<sub>3</sub>CHCHCH<sub>2</sub>OH,,6117-91-5,WCASXYBKJHWFMY-UHFFFAOYSA-N,19,
783,2-methyl-3-buten-2-ol,C<sub>5</sub>H<sub>9</sub>O,,115-18-4,HNVRRHSXBLFLIG-UHFFFAOYSA-N,19,
784,2-methyl-3-butyn-2-ol,C<sub>5</sub>H<sub>8</sub>O,,115-19-5,CEBKHWWANWSNTI-UHFFFAOYSA-N,19,
785,3-methyl-1-pentyn-3-ol,C<sub>6</sub>H<sub>10</sub>O,meparfynol,77-75-8,QXLPXWSKPNOQLE-UHFFFAOYSA-N,19,
786,1-octen-3-ol,C<sub>8</sub>H<sub>16</sub>O,,3391-86-4,VSMOENVRRABVKN-UHFFFAOYSA-N,19,
787,bicyclo[2.2.1]heptan-2-ol,C<sub>7</sub>H<sub>12</sub>O,norborneol,1632-68-4,ZQTYQMYDIHMKQB-UHFFFAOYSA-N,19,
788,"3,7-dimethyl-1,6-octadien-3-ol",C<sub>10</sub>H<sub>18</sub>O,linalool,78-70-6,CDOSHBSSFJOMGT-UHFFFAOYSA-N,19,
789,"(E)-3,7-dimethyl-2,6-octadien-1-ol",C<sub>10</sub>H<sub>18</sub>O,geraniol,106-24-1,GLZPCOQZEFWAFX-JXMROGBWSA-N,19,
790,"tricyclo[3.3.1.1(3,7)]decan-1-ol",C<sub>10</sub>H<sub>16</sub>O,1-adamantanol,768-95-6,VLLNJDMHDJRNFK-UHFFFAOYSA-N,19,
791,plinol,C<sub>10</sub>H<sub>18</sub>O,,11039-70-6,inchikey,19,
792,"3,7,11-trimethyl-2,6,10-dodecatrien-1-ol",C<sub>15</sub>H<sub>26</sub>O,farnesol,4602-84-0,CRDAMVZIKSXKFV-YFVJMOTDSA-N,19,
793,(Z)-9-octadecen-1-ol,C<sub>18</sub>H<sub>36</sub>O,oleyl alcohol,143-28-2,ALSTYHKOOCGGFT-KTKRTIGZSA-N,19,
794,dihydroabietyl alcohol,C<sub>20</sub>H<sub>34</sub>O,,26266-77-3,FLMIYUXOBAUKJM-UHFFFAOYSA-N,19,
795,ethylestrenol,C<sub>20</sub>H<sub>32</sub>O,,965-90-2,AOXRBFRFYPMWLR-UHFFFAOYSA-N,19,
796,hydroxybenzene,C<sub>6</sub>H<sub>5</sub>OH,phenol,108-95-2,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,19,
797,(hydroxymethyl)-benzene,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>OH,benzyl alcohol,100-51-6,WVDDGKGOMKODPV-UHFFFAOYSA-N,19,
798,1-hydroxy-2-methylbenzene,HOC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,2-cresol; o-cresol,95-48-7,QWVGKYWNOKOFNN-UHFFFAOYSA-N,19,
799,1-hydroxy-3-methylbenzene,HOC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,3-cresol; m-cresol,108-39-4,RLSSMJSEOOYNOY-UHFFFAOYSA-N,19,
800,1-hydroxy-4-methylbenzene,HOC<sub>6</sub>H<sub>4</sub>CH<sub>3</sub>,4-cresol; p-cresol,106-44-5,IWDCLRJOBJJRNH-UHFFFAOYSA-N,19,
801,"1-hydroxy-2,3-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"2,3-xylenol; 2,3-dimethylphenol",526-75-0,QWBBPBRQALCEIZ-UHFFFAOYSA-N,19,
802,"1-hydroxy-2,4-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"2,4-xylenol; 2,4-dimethylphenol",105-67-9,KUFFULVDNCHOFZ-UHFFFAOYSA-N,19,
803,"1-hydroxy-2,5-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"2,5-xylenol; 2,5-dimethylphenol",95-87-4,NKTOLZVEWDHZMU-UHFFFAOYSA-N,19,
804,"1-hydroxy-2,6-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"2,6-xylenol; 2,6-dimethylphenol",576-26-1,NXXYKOUNUYWIHA-UHFFFAOYSA-N,19,
805,"1-hydroxy-3,4-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"3,4-xylenol; 3,4-dimethylphenol",95-65-8,YCOXTKKNXUZSKD-UHFFFAOYSA-N,19,
806,"1-hydroxy-3,5-dimethylbenzene",C<sub>8</sub>H<sub>10</sub>O,"3,5-xylenol; 3,5-dimethylphenol",108-68-9,TUAMRELNJMMDMT-UHFFFAOYSA-N,19,
807,4-methylbenzenemethanol,C<sub>8</sub>H<sub>10</sub>O,,589-18-4,KMTDMTZBNYGUNX-UHFFFAOYSA-N,19,
808,&#945;-methylbenzyl alcohol,C<sub>8</sub>H<sub>10</sub>O,,98-85-1,WAPNOHKVXSQRPX-UHFFFAOYSA-N,19,
809,"2,3,5-trimethylphenol",C<sub>9</sub>H<sub>12</sub>O,,697-82-5,OGRAOKJKVGDSFR-UHFFFAOYSA-N,19,
810,"2,4,6-trimethylphenol",C<sub>9</sub>H<sub>12</sub>O,,527-60-6,BPRYUXCVCCNUFE-UHFFFAOYSA-N,19,
811,"3,4,5-trimethylphenol",C<sub>9</sub>H<sub>12</sub>O,,527-54-8,FDQQNNZKEJIHMS-UHFFFAOYSA-N,19,
812,1-hydroxy-2-ethylbenzene,C<sub>8</sub>H<sub>10</sub>O,2-ethylphenol,90-00-6,IXQGCWUGDFDQMF-UHFFFAOYSA-N,19,
813,1-hydroxy-3-ethylbenzene,C<sub>8</sub>H<sub>10</sub>O,3-ethylphenol,620-17-7,HMNKTRSOROOSPP-UHFFFAOYSA-N,19,
814,1-hydroxy-4-ethylbenzene,C<sub>8</sub>H<sub>10</sub>O,4-ethylphenol,123-07-9,HXDOZKJGKXYMEW-UHFFFAOYSA-N,19,
815,1-hydroxy-4-propylbenzene,C<sub>9</sub>H<sub>12</sub>O,4-propylphenol,645-56-7,KLSLBUSXWBJMEC-UHFFFAOYSA-N,19,
816,2-(1-methylethyl)-phenol,C<sub>9</sub>H<sub>12</sub>O,,88-69-7,CRBJBYGJVIBWIY-UHFFFAOYSA-N,19,
817,2-phenylisopropanol,C<sub>9</sub>H<sub>12</sub>O,,617-94-7,BDCFWIDZNLCTMF-UHFFFAOYSA-N,19,
818,3-methyl-5-ethylphenol,C<sub>9</sub>H<sub>12</sub>O,,698-71-5,XTCHLXABLZQNNN-UHFFFAOYSA-N,19,
819,"2,3,6-trimethylphenol",C<sub>9</sub>H<sub>12</sub>O,,2416-94-6,QQOMQLYQAXGHSU-UHFFFAOYSA-N,19,
820,"2-(1,1-dimethylethyl)phenol",C<sub>10</sub>H<sub>14</sub>O,,88-18-6,WJQOZHYUIDYNHM-UHFFFAOYSA-N,19,
821,2-(1-methylpropyl)phenol,C<sub>10</sub>H<sub>14</sub>O,,89-72-5,NGFPWHGISWUQOI-UHFFFAOYSA-N,19,
822,4-(1-methylpropyl)-phenol,C<sub>10</sub>H<sub>14</sub>O,4-<i>sec</i>-butylphenol,99-71-8,ZUTYZAFDFLLILI-UHFFFAOYSA-N,19,
823,4-<i>tert</i>-butylphenol,C<sub>10</sub>H<sub>14</sub>O,,98-54-4,QHPQWRBYOIRBIT-UHFFFAOYSA-N,19,
824,2-methyl-5-(1-methylethyl)-phenol,C<sub>10</sub>H<sub>14</sub>O,carvacrol,499-75-2,RECUKUPTGUEGMW-UHFFFAOYSA-N,19,
825,5-methyl-2-(1-methylethyl)-phenol,C<sub>10</sub>H<sub>14</sub>O,thymol,89-83-8,MGSRCZKZVOBKFT-UHFFFAOYSA-N,19,
826,"2-(1,1-dimethylethyl)-4-methylphenol",C<sub>11</sub>H<sub>16</sub>O,,2409-55-4,IKEHOXWJQXIQAG-UHFFFAOYSA-N,19,
827,"4-(1,1-dimethylpropyl)phenol",C<sub>11</sub>H<sub>16</sub>O,,80-46-6,NRZWYNLTFLDQQX-UHFFFAOYSA-N,19,
828,1-hydroxy-4-octylbenzene,C<sub>14</sub>H<sub>22</sub>O,4-octylphenol,1806-26-4,NTDQQZYCCIDJRK-UHFFFAOYSA-N,19,
829,1-hydroxy-4-nonylbenzene,C<sub>15</sub>H<sub>24</sub>O,4-nonylphenol,104-40-5,IGFHQQFPSIBGKE-UHFFFAOYSA-N,19,
830,"4-(1,1,3,3-tetramethylbutyl)-phenol",C<sub>14</sub>H<sub>22</sub>O,p-<i>tert</i>-octylphenol,140-66-9,ISAVYTVYFVQUDY-UHFFFAOYSA-N,19,
831,"2,6-bis(1,1-dimethylethyl)-4-methylphenol",C<sub>15</sub>H<sub>24</sub>O,butylated hydroxytoluene; BHT,128-37-0,NLZUEZXRPGMBCV-UHFFFAOYSA-N,19,
832,"4-(3'',5''-dimethyl-3''-heptyl)-phenol(+)",C<sub>15</sub>H<sub>24</sub>O,,_CAS-33,inchikey,19,
833,"4-(3'',5''-dimethyl-3''-heptyl)-phenol(-)",C<sub>15</sub>H<sub>24</sub>O,,_CAS-34,inchikey,19,
834,2-phenylethanol,C<sub>8</sub>H<sub>10</sub>O,,60-12-8,WRMNZCZEMHIOCP-UHFFFAOYSA-N,19,
835,3-phenyl-1-propanol,C<sub>9</sub>H<sub>12</sub>O,,122-97-4,VAJVDSVGBWFCLW-UHFFFAOYSA-N,19,
836,4-phenyl-1-butanol,C<sub>10</sub>H<sub>14</sub>O,,3360-41-6,LDZLXQFDGRCELX-UHFFFAOYSA-N,19,
837,1-naphthalenol,C<sub>10</sub>H<sub>8</sub>O,1-naphthol,90-15-3,KJCVRFUGPWSIIH-UHFFFAOYSA-N,19,
838,2-naphthalenol,C<sub>10</sub>H<sub>8</sub>O,2-naphthol,135-19-3,JWAZRIHNYRIHIV-UHFFFAOYSA-N,19,
839,o-hydroxybiphenyl,C<sub>12</sub>H<sub>10</sub>O,,90-43-7,LLEMOWNGBBNAJR-UHFFFAOYSA-N,19,
840,p-hydroxybiphenyl,C<sub>12</sub>H<sub>10</sub>O,,92-69-3,YXVFYQXJAXKLAK-UHFFFAOYSA-N,19,
841,"2,4,6-tris(1,1-dimethylethyl)phenol",C<sub>18</sub>H<sub>30</sub>O,,732-26-3,PFEFOYRSMXVNEL-UHFFFAOYSA-N,19,
842,dehydroabietol,C<sub>20</sub>H<sub>30</sub>O,,3772-55-2,WSKGRAGZAQRSED-IOJLRTSASA-N,19,
843,"2,2''-methylenebis(6-(1,1-dimethylethyl)-4-methylphenol)",C<sub>23</sub>H<sub>32</sub>O<sub>2</sub>,,119-47-1,KGRVJHAUYBGFFP-UHFFFAOYSA-N,19,
844,"2,4-dinonylphenol",C<sub>24</sub>H<sub>42</sub>O,,137-99-5,FDAJTLLBHNHECW-UHFFFAOYSA-N,19,
845,"1,2-ethanediol",HO(CH<sub>2</sub>)<sub>2</sub>OH,ethylene glycol,107-21-1,LYCAIKOWRPUZTN-UHFFFAOYSA-N,20,
846,"1,2-propanediol",C<sub>3</sub>H<sub>8</sub>O<sub>2</sub>,,57-55-6,DNIAPMSPPWPWGF-UHFFFAOYSA-N,20,
847,"1,3-propanediol",C<sub>3</sub>H<sub>8</sub>O<sub>2</sub>,,504-63-2,YPFDHNVEDLHUCE-UHFFFAOYSA-N,20,
848,"1,2,3-propanetriol",C<sub>3</sub>H<sub>8</sub>O<sub>3</sub>,glycerol,56-81-5,PEDCQBHIVMGVHV-UHFFFAOYSA-N,20,
849,"1,2-butanediol",C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,584-03-2,BMRWNKZVCUKKSR-UHFFFAOYSA-N,20,
850,"1,3-butanediol",C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,107-88-0,PUPZLCDOIYMWBV-UHFFFAOYSA-N,20,
851,"1,4-butanediol",C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,110-63-4,WERYXYBDKMZEQL-UHFFFAOYSA-N,20,
852,"2,3-butanediol",C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,513-85-9,OWBTYPJTUOEWEK-UHFFFAOYSA-N,20,
853,"2-methylpropane-1,3-diol",C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,2163-42-0,QWGRWMMWNDWRQN-UHFFFAOYSA-N,20,
854,"1,2,3-butanetriol",C<sub>4</sub>H<sub>10</sub>O<sub>3</sub>,,4435-50-1,YAXKTBLXMTYWDQ-UHFFFAOYSA-N,20,
855,"1,2,4-butanetriol",C<sub>4</sub>H<sub>10</sub>O<sub>3</sub>,,3068-00-6,ARXKVVRQIIOZGF-UHFFFAOYSA-N,20,
856,"1,2,3,4-butanetetrol",C<sub>4</sub>H<sub>10</sub>O<sub>4</sub>,"1,2,3,4-tetrahydroxybutane",_CAS-82,inchikey,20,
857,"2(R),3(S)-1,2,3,4-butanetetrol",C<sub>4</sub>H<sub>10</sub>O<sub>4</sub>,erythritol,149-32-6,UNXHWFMMPAWVPI-ZXZARUISSA-N,20,
858,"1,2-pentanediol",C<sub>5</sub>H<sub>12</sub>O<sub>2</sub>,,5343-92-0,WCVRQHFDJLLWFE-UHFFFAOYSA-N,20,
859,"1,4-pentanediol",C<sub>5</sub>H<sub>12</sub>O<sub>2</sub>,,626-95-9,GLOBUAZSRIOKLN-UHFFFAOYSA-N,20,
860,"1,5-pentanediol",C<sub>5</sub>H<sub>12</sub>O<sub>2</sub>,,111-29-5,ALQSHHUCVQOPAS-UHFFFAOYSA-N,20,
861,"2,3-pentanediol",C<sub>5</sub>H<sub>12</sub>O<sub>2</sub>,,42027-23-6,XLMFDCKSFJWJTP-UHFFFAOYSA-N,20,
862,"2,4-pentanediol",C<sub>5</sub>H<sub>12</sub>O<sub>2</sub>,,625-69-4,GTCCGKPBSJZVRZ-UHFFFAOYSA-N,20,
863,"2-(hydroxymethyl)-2-methyl-1,3-propanediol",C<sub>5</sub>H<sub>12</sub>O<sub>3</sub>,,77-85-0,QXJQHYBHAIHNGG-UHFFFAOYSA-N,20,
864,"2,2-bis(hydroxymethyl)1,3-propanediol",C<sub>5</sub>H<sub>12</sub>O<sub>4</sub>,pentaerythritol,115-77-5,WXZMFSXDPGVJKK-UHFFFAOYSA-N,20,
865,"1,2,3,4,5-pentanepentol",C<sub>5</sub>H<sub>12</sub>O<sub>5</sub>,,_CAS-81,inchikey,20,
866,"(2R,3R,4S)-pentane-1,2,3,4,5-pentol",C<sub>5</sub>H<sub>12</sub>O<sub>5</sub>,xylitol,87-99-0,HEBKCHPVOIAQTA-SCDXWVJYSA-N,20,
867,"(2R,3S,4S)-pentane-1,2,3,4,5-pentol",C<sub>5</sub>H<sub>12</sub>O<sub>5</sub>,adonitol; ribitol,488-81-3,HEBKCHPVOIAQTA-ZXFHETKHSA-N,20,
868,"(2R,4R)-pentane-1,2,3,4,5-pentol",C<sub>5</sub>H<sub>12</sub>O<sub>5</sub>,arabitol; arabinitol,2152-56-9,HEBKCHPVOIAQTA-QWWZWVQMSA-N,20,
869,"1,2-hexanediol",C<sub>6</sub>H<sub>14</sub>O<sub>2</sub>,,6920-22-5,FHKSXSQHXQEMOK-UHFFFAOYSA-N,20,
870,"1,6-hexanediol",C<sub>6</sub>H<sub>14</sub>O<sub>2</sub>,,629-11-8,XXMIOPMDWAUFGU-UHFFFAOYSA-N,20,
871,"2,5-hexanediol",C<sub>6</sub>H<sub>14</sub>O<sub>2</sub>,,2935-44-6,OHMBHFSEKCCCBW-UHFFFAOYSA-N,20,
872,"2-methyl-1,3-pentanediol",C<sub>6</sub>H<sub>14</sub>O<sub>2</sub>,,149-31-5,SPXWGAHNKXLXAP-UHFFFAOYSA-N,20,
873,"2-methyl-2,4-pentanediol",C<sub>6</sub>H<sub>14</sub>O<sub>2</sub>,,107-41-5,SVTBMSDMJJWYQN-UHFFFAOYSA-N,20,
874,"1,2,6-hexanetriol",C<sub>6</sub>H<sub>14</sub>O<sub>3</sub>,,106-69-4,ZWVMLYRJXORSEP-UHFFFAOYSA-N,20,
875,"1,2,3,4,5,6-hexahydroxy hexane",C<sub>6</sub>H<sub>14</sub>O<sub>6</sub>,,_CAS-83,inchikey,20,
876,"(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C<sub>6</sub>H<sub>14</sub>O<sub>6</sub>,sorbitol,50-70-4,FBPFZTCFMRRESA-JGWLITMVSA-N,20,
877,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C<sub>6</sub>H<sub>14</sub>O<sub>6</sub>,mannitol,69-65-8,FBPFZTCFMRRESA-KVTDHHQDSA-N,20,
878,"(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol",C<sub>6</sub>H<sub>14</sub>O<sub>6</sub>,dulcitol; galactitol,608-66-2,FBPFZTCFMRRESA-GUCUJZIJSA-N,20,
879,"1,2,4,5-cyclohexanetetrol",C<sub>6</sub>H<sub>12</sub>O<sub>4</sub>,"1,2,4,5-tetrahydroxycyclohexane",35652-37-0,RDIDGZFQASQXBU-UHFFFAOYSA-N,20,
880,"1,2,3,4,5,6-hexahydroxycyclohexane",C<sub>6</sub>H<sub>12</sub>O<sub>6</sub>,,87-89-8,CDAISMWEOUEBRE-UHFFFAOYSA-N,20,
881,"1,7-heptanediol",C<sub>7</sub>H<sub>16</sub>O<sub>2</sub>,,629-30-1,SXCBDZAEHILGLM-UHFFFAOYSA-N,20,
882,"2,4-heptanediol",C<sub>7</sub>H<sub>16</sub>O<sub>2</sub>,,20748-86-1,XVEOUOTUJBYHNL-UHFFFAOYSA-N,20,
883,"2,2-diethyl-1,3-propanediol",C<sub>7</sub>H<sub>16</sub>O<sub>2</sub>,,115-76-4,XRVCFZPJAHWYTB-UHFFFAOYSA-N,20,
884,"1,2,3,4,5-pentahydroxyheptane",C<sub>7</sub>H<sub>16</sub>O<sub>5</sub>,,_CAS-01,inchikey,20,
885,"1,2,3,4,6-pentahydroxyheptane",C<sub>7</sub>H<sub>16</sub>O<sub>5</sub>,,_CAS-02,inchikey,20,
886,"1,2,3,5,7-pentahydroxyheptane",C<sub>7</sub>H<sub>16</sub>O<sub>5</sub>,,_CAS-03,inchikey,20,
887,"1,2,3,4,5,6-hexahydroxyheptane",C<sub>7</sub>H<sub>16</sub>O<sub>6</sub>,1-deoxy-heptitol,688007-16-1,YMEXGEAJNZRQEH-VIFPVBQESA-N,20,
888,4-methylcyclohexanemethanol,C<sub>8</sub>H<sub>16</sub>O,,34885-03-5,OSINZLLLLCUKJH-UHFFFAOYSA-N,20,
889,"1,4-cyclohexanedimethanol",C<sub>8</sub>H<sub>16</sub>O<sub>2</sub>,,105-08-8,YIMQCDZDWXUDCA-UHFFFAOYSA-N,20,
890,"2-ethyl-1,3-hexanediol",C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>,,94-96-2,RWLALWYNXFYRGW-UHFFFAOYSA-N,20,
891,"2,2,4-trimethyl-1,3-pentanediol",C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>,,144-19-4,JCTXKRPTIMZBJT-UHFFFAOYSA-N,20,
892,"2,5-dimethyl-2,5-hexanediol",C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>,,110-03-2,ZWNMRZQYWRLGMM-UHFFFAOYSA-N,20,
893,"1,9-nonanediol",C<sub>9</sub>H<sub>20</sub>O<sub>2</sub>,,3937-56-2,ALVZNPYWJMLXKV-UHFFFAOYSA-N,20,
894,"1,10-decanediol",C<sub>10</sub>H<sub>22</sub>O<sub>2</sub>,,112-47-0,FOTKYAAJKYLFFN-UHFFFAOYSA-N,20,
895,"2-butene-1,4-diol",C<sub>4</sub>H<sub>8</sub>O<sub>2</sub>,,110-64-5,ORTVZLZNOYNASJ-UHFFFAOYSA-N,20,
896,"2-butyne-1,4-diol",C<sub>4</sub>H<sub>6</sub>O<sub>2</sub>,"1,4-dihydroxy-2-butyne",110-65-6,DLDJFQGPPSQZKI-UHFFFAOYSA-N,20,
897,"1,2-dihydroxybenzene",C<sub>6</sub>H<sub>4</sub>(OH)<sub>2</sub>,pyrocatechol,120-80-9,YCIMNLLNPGFGHC-UHFFFAOYSA-N,20,
898,"1,3-dihydroxybenzene",C<sub>6</sub>H<sub>4</sub>(OH)<sub>2</sub>,resorcinol,108-46-3,GHMLBKRAJCXXBS-UHFFFAOYSA-N,20,
899,"1,4-dihydroxybenzene",C<sub>6</sub>H<sub>4</sub>(OH)<sub>2</sub>,hydroquinone,123-31-9,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,20,
900,"1,2,3-benzenetriol",C<sub>6</sub>H<sub>6</sub>O<sub>3</sub>,pyrogallic acid,87-66-1,WQGWDDDVZFFDIG-UHFFFAOYSA-N,20,
901,hexylresorcinol,C<sub>12</sub>H<sub>18</sub>O<sub>2</sub>,,136-77-6,WFJIVOKAWHGMBH-UHFFFAOYSA-N,20,
902,"2,6-bis(1,1-dimethylethyl)phenol",C<sub>14</sub>H<sub>22</sub>O,,128-39-2,DKCPKDPYUFEZCP-UHFFFAOYSA-N,20,
903,4-(1-methyl-1-phenylethyl)phenol,C<sub>15</sub>H<sub>16</sub>O,,599-64-4,QBDSZLJBMIMQRS-UHFFFAOYSA-N,20,
904,"2,2'',3,3''-tetrahydro-3,3,3'',3''-tetramethyl-1,1''-spirobi(1H-indene)-6,6''-diol",C<sub>21</sub>H<sub>24</sub>O<sub>2</sub>,,1568-80-5,SICLLPHPVFCNTJ-UHFFFAOYSA-N,20,
905,"4,4''-(3,3,5-trimethylcyclohexane-1,1-diyl)diphenol",C<sub>21</sub>H<sub>26</sub>O<sub>2</sub>,,129188-99-4,UMPGNGRIGSEMTC-UHFFFAOYSA-N,20,
906,"3,3,3'',3''-tetramethyl-1,1''-spirobi(indan)-5,5'',6,6''-tetrol",C<sub>21</sub>H<sub>24</sub>O<sub>4</sub>,,77-08-7,POFMQEVZKZVAPQ-UHFFFAOYSA-N,20,
907,"9,9-bis(4-hydroxyphenyl)fluorene",C<sub>25</sub>H<sub>18</sub>O<sub>2</sub>,,3236-71-3,YWFPGFJLYRKYJZ-UHFFFAOYSA-N,20,
908,methyl hydroperoxide,CH<sub>3</sub>OOH,methyl peroxide,3031-73-0,MEUKEBNAABNAEX-UHFFFAOYSA-N,21,
909,ethyl hydroperoxide,C<sub>2</sub>H<sub>5</sub>OOH,ethyl peroxide,3031-74-1,ILHIHKRJJMKBEE-UHFFFAOYSA-N,21,
910,hydroxymethyl hydroperoxide,HOCH<sub>2</sub>OOH,HMHP; HMP,15932-89-5,NEZWFWIACBUQMN-UHFFFAOYSA-N,21,
911,bis-(hydroxymethyl)-peroxide,HOCH<sub>2</sub>OOCH<sub>2</sub>OH,BHMP,17088-73-2,JLJXMZMKMRQOLN-UHFFFAOYSA-N,21,
912,<i>tert</i>-butyl hydroperoxide,C<sub>4</sub>H<sub>10</sub>O<sub>2</sub>,,75-91-2,CIHOLLKRGTVIJN-UHFFFAOYSA-N,21,
913,di-<i>tert</i>-butylperoxide,C<sub>8</sub>H<sub>18</sub>O<sub>2</sub>,,110-05-4,LSXWFXONGKSEMY-UHFFFAOYSA-N,21,
914,1-methyl-1-phenylethylhydroperoxide,C<sub>9</sub>H<sub>12</sub>O<sub>2</sub>,,80-15-9,YQHLDYVWEZKEOX-UHFFFAOYSA-N,21,
915,dicumyl peroxide,C<sub>18</sub>H<sub>22</sub>O<sub>2</sub>,,80-43-3,XMNIXWIUMCBBBL-UHFFFAOYSA-N,21,
916,methylperoxy radical,CH<sub>3</sub>OO,,2143-58-0,WTFNSXYULBQCQV-UHFFFAOYSA-N,21,
917,hydroxymethylperoxy radical,HOCH<sub>2</sub>OO,,27828-51-9,inchikey,21,
918,peroxyacetyl radical,CH<sub>3</sub>C(O)O<sub>2</sub>,,36709-10-1,ZBQKPDHUDKSCRS-UHFFFAOYSA-N,21,
919,methanal,HCHO,formaldehyde,50-00-0,WSFSSNUMVMOOMR-UHFFFAOYSA-N,22,
920,ethanal,CH<sub>3</sub>CHO,acetaldehyde,75-07-0,IKHGUXGNUITLKF-UHFFFAOYSA-N,22,
921,propanal,C<sub>2</sub>H<sub>5</sub>CHO,propionaldehyde,123-38-6,NBBJYMSMWIIQGU-UHFFFAOYSA-N,22,
922,butanal,C<sub>3</sub>H<sub>7</sub>CHO,butyraldehyde,123-72-8,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,22,
923,2-methylpropanal,C<sub>4</sub>H<sub>8</sub>O,isobutyraldehyde,78-84-2,AMIMRNSIRUDHCM-UHFFFAOYSA-N,22,
924,pentanal,C<sub>4</sub>H<sub>9</sub>CHO,valeraldehyde,110-62-3,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,22,
925,2-methylbutanal,C<sub>5</sub>H<sub>10</sub>O,,96-17-3,BYGQBDHUGHBGMD-UHFFFAOYSA-N,22,
926,3-methylbutanal,C<sub>5</sub>H<sub>10</sub>O,isovaleraldehyde,590-86-3,YGHRJJRRZDOVPD-UHFFFAOYSA-N,22,
927,hexanal,C<sub>5</sub>H<sub>11</sub>CHO,,66-25-1,JARKCYVAAOWBJS-UHFFFAOYSA-N,22,
928,2-methylpentanal,C<sub>6</sub>H<sub>12</sub>O,2-methylvaleraldehyde,123-15-9,FTZILAQGHINQQR-UHFFFAOYSA-N,22,
929,heptanal,C<sub>6</sub>H<sub>13</sub>CHO,,111-71-7,FXHGMKSSBGDXIY-UHFFFAOYSA-N,22,
930,octanal,C<sub>7</sub>H<sub>15</sub>CHO,,124-13-0,NUJGJRNETVAIRJ-UHFFFAOYSA-N,22,
931,nonanal,C<sub>8</sub>H<sub>17</sub>CHO,,124-19-6,GYHFUZHODSMOHU-UHFFFAOYSA-N,22,
932,2-ethylhexanal,C<sub>8</sub>H<sub>16</sub>O,,123-05-7,LGYNIFWIKSEESD-UHFFFAOYSA-N,22,
933,"3,5,5-trimethylhexanal",C<sub>9</sub>H<sub>18</sub>O,,5435-64-3,WTPYRCJDOZVZON-UHFFFAOYSA-N,22,
934,decanal,C<sub>9</sub>H<sub>19</sub>CHO,,112-31-2,KSMVZQYAVGTKIV-UHFFFAOYSA-N,22,
935,undecanal,C<sub>11</sub>H<sub>22</sub>O,,112-44-7,KMPQYAYAQWNLME-UHFFFAOYSA-N,22,
936,propenal,CH<sub>2</sub>CHCHO,acrolein,107-02-8,HGINCPLSRVDWNT-UHFFFAOYSA-N,22,
937,2-methylpropenal,C<sub>4</sub>H<sub>6</sub>O,methacrolein,78-85-3,STNJBCKSHOAVAJ-UHFFFAOYSA-N,22,
